hotel_name,rating
Ramada_by_Wyndham_San_Diego_Airport,3.5
Ramada_Hotel_Conference_Center_by_Wyndham_San_Diego_North,3.5
Rodeway_Inn_San_Diego_Near_Qualcomm_Stadium,3.5
Pacific_Shores_Inn,3.5
Sonder_The_Marin,4
Holiday_Inn_Express_Hotel_Suites_San_Diego_Otay_Mesa,4
Pacific_Inn_Hotel_Suites,3.5
TownePlace_Suites_by_Marriott_San_Diego_Downtown,4
Comfort_Inn_Suites_San_Diego_Zoo_SeaWorld_Area,3.5
Best_Western_Seven_Seas,3.5
Hotel_Aqua_Mar,3.5
Doubletree_Hotel_San_Diego_Downtown,3.5
Crowne_Plaza_Hotel_San_Diego_Mission_Valley,3.5
California_Dreams_Hostel,5
Ramada_by_Wyndham_Gaslamp_Convention_Center,3.5
Four_Points_by_Sheraton_San_Diego_SeaWorld,3.5
Candlewood_Suites,4
Holiday_Inn_Express_San_Diego_N_Rancho_Bernardo,3.5
Motel_6_San_Diego_CA_Downtown,3.5
Holiday_Inn_Express_Mira_Mesa,3.5
Quality_Suites_San_Diego_SeaWorld_Area,3.5
Hotel_Iris,4
TownePlace_Suites_San_Diego_Central,4
San_Diego_Marriott_Del_Mar,4
Berkshire_Motor_Hotel,3.5
Town_and_Country_San_Diego,3.5
Four_Points_by_Sheraton_San_Diego,3
Quality_Inn_San_Diego_I_5_Naval_Base,3.5
Quality_Suites_Otay_Mesa,4
Quality_Inn_San_Diego_Downtown_North,3.5
Vantaggio_Suites,3.5
Pleasant_Inn,3.5
Motel_6_San_Ysidro_San_Diego_Border,3.5
William_Penn_Hotel,4
DoubleTree_by_Hilton_Hotel_San_Diego_Hotel_Circle,3.5
Hostel_on_3rd,3.5
Baymont_by_Wyndham_San_Diego_Downtown,3
Sands_Of_La_Jolla,3.5
Americas_Best_Value_Inn_Loma_Lodge,3.5
Extended_Stay_America_San_Diego_Hotel_Circle,3.5
Sunrise_Inn_San_Diego,3.5
Harvey_s_Motel,3.5
Comfort_Inn_San_Diego_Miramar,4.5
Travelodge_by_Wyndham_San_Diego_Downtown_Convention_Center,3
Motel_6_San_Diego_Southbay,3
Lodge_at_32nd,3.5
Gaslamp_Quarter_Condos_by_Barsala,4
Marina_Inn_and_Suites,3.5
Gaslamp_Hostel_San_Diego,5
Stay_Alfred_at_Alexan_ALX,5
Stay_Alfred_on_G_Street,5
Blue_Heron_Cottages,4.5
Vantaggio_Suite_Hillcrest,3.5
Extended_Stay_America_San_Diego_Fashion_Valley,3
California_Suites_Hotel,3
Rodeway_Inn_San_Ysidro,2.5
Sunshine_Suites_at_The_Crossroads,1
Sunshine_Suites_at_Little_Italy,2
Ace_Budget_Motel,1
Wyndham_Garden_San_Diego_Near_SeaWorld,3
Travel_Time_Motel,2.5
Knights_Inn_San_Ysidro,3
Travelodge_by_Wyndham_San_Ysidro,3
Stay_Alfred_on_7th_Avenue,1
Harborview_Inn_and_Suites,2.5
E_Z_8_Motel_Old_Town,2.5
La_Petite_Rouge_Motel,2
Days_Inn_by_Wyndham_Mission_Valley_Qualcomm_Stadium_Sdsu,2.5
San_Diego_Downtown_Lodge,2.5
RK_Hostel,2.5
Heritage_Inn_San_Diego,2.5
RK_Buckner_Hostel,2.5
Bay_Inn_and_Suites,2.5
Biltmore_Motel,2
West_Park_Inn,2
Travelodge_by_Wyndham_San_Diego_SeaWorld,2.5
Hostel_Habibi,2.5
Howard_Johnson_by_Wyndham_San_Diego_Hotel_Circle,2
San_Diego_Motel,1
The_Consulate_Hotel,2
Crystal_Pier_Hotel_Cottages,4.5
Best_Western_Lamplighter_Inn_Suites_at_SDSU,4.5
Ocean_Park_Inn,4.5
Residence_Inn_San_Diego_Central,4.5
Club_Wyndham_Harbour_Lights,4.5
Residence_Inn_San_Diego_Mission_Valley,4
Staybridge_Suites_San_Diego_Rancho_Bernardo_Area,4.5
Inn_at_the_Park,4
Hotel_Karlan_San_Diego_a_DoubleTree_by_Hilton,4
Courtyard_San_Diego_Mission_Valley_Hotel_Circle,4
Beachcomber_Shores,3.5
Vista_Del_Mar_Home,5
Ensenada_Court_Home,5
Gateway_Inn,5
Holiday_Inn_Express_Suites_San_Diego_Gaslamp_Quarter,5
Ensenada_Court_Condo,4
Ocean_Beach_Cottages,3
Churchill_Hotel_San_Diego,1
Flamingo_Motel,2
SuiteAmerica_Allegro_Towers,1
Navy_Gateway_Inns_Suites_Naval_Base_San_Diego,2
Friendship_Hotel,2
Rodeway_Inn_San_Ysidro,2.5
Ace_Budget_Motel,1
Travel_Time_Motel,2.5
Travelodge_by_Wyndham_San_Ysidro,3
La_Petite_Rouge_Motel,2
Biltmore_Motel,2
The_Consulate_Hotel,2
Beach_Hut_Bed_and_Breakfast,5
Mudville_Flats_Boutique_Hotel,5
Navy_Lodge_North_Island_Naval_Air_Station,4.5
Navy_Lodge_San_Diego,4.5
Park_Hyatt_Aviara_Resort_Golf_Club,4.5
Crone_s_Cobblestone_Cottage_Bed_and_Breakfast,5
Vintage_Sol,5
Campland_on_the_Bay,3.5
Miramar_Inn,4.5
Burnt_Rancheria_Campground,4.5
The_Cottage,5
The_Bed_Breakfast_Inn_at_La_Jolla,4.5
Redwood_Hollow_La_Jolla_Cottages,4.5
Capri_by_the_Sea_by_All_Seasons_Resort_Lodging,4
Parc_Suites_San_Diego,4.5
WorldMark_San_Diego_Balboa_Park,4
Sonder_The_Marin,4
Vantaggio_Suites,3.5
William_Penn_Hotel,4
Navy_Gateway_Inns_Suites_Naval_Base_Point_Loma,4
Blue_Water_B_B,5
Navy_Gateway_Inn_Suites_NAS_North_Island,3.5
Navy_Gateway_Inns_Suites_Naval_Base_Point_Loma_Main_Base,3.5
The_Historical_Manor,5
BeachCliff_Villas,4.5
San_Diego_Bed_and_Breakfast,5
Villa_Caribe,4.5
Admiral_Baker_RV_Park,4.5
Dmitri_s_Guesthouse,5
Kumeyaay_Campground,4
Kettner_Boulevard_Apartment_by_Stay_Alfred,5
Victorian_Getaway,5
Top_Of_The_Beach_And_Bay_Condo,5
Priority_Suites_San_Diego,4
La_Pacifica_RV_Resort,3
Plaza_Hotel,3
Cabo_Santa_Cruz,2.5
Harbor_House,2.5
Pacifica_Hotel,3
Paris_Hotel,2
2nd_Home_Suites,1
San_Diego_Vacation_Cottages,2
Gaslamp_Quarter_Condos_by_Barsala,4
Stay_Alfred_at_Alexan_ALX,5
