categories,city,name,reviews.date,reviews.rating
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-10-16,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-05-13,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-11-06,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-04-17,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-25,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-05-16,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-07,2.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-30,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-01-16,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-14,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-20,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-03-25,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-02-16,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-04-27,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-08-20,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-03-19,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-03-02,2.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-05,2.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-11-21,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-11-03,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-04-19,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-08-27,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-15,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-10,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-06,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-01-19,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-05-07,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-22,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-07-16,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-08-28,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-02-27,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-05-02,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-14,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-08-31,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-02,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-09-04,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2017-03-26,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2017-02-07,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2017-03-20,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2017-03-21,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2017-03-19,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2017-03-23,3.0
